country,beer,spirit,wine,liters,continent,cont_AS,cont_EU,cont_NA,cont_OC,cont_SA,beer_level
Mauritius,98.0,31,18,2.6,AF,0,0,0,0,0,low
Mexico,238.0,68,5,5.5,NA,0,0,1,0,0,high
Micronesia,62.0,50,18,2.3,OC,0,0,0,1,0,low
Monaco,0.0,0,0,0.0,EU,0,1,0,0,0,low
Mongolia,77.0,189,8,4.9,AS,1,0,0,0,0,low
Montenegro,31.0,114,128,4.9,EU,0,1,0,0,0,low
Morocco,12.0,6,10,0.5,AF,0,0,0,0,0,low
Mozambique,47.0,18,5,1.3,AF,0,0,0,0,0,low
Myanmar,5.0,1,0,0.1,AS,1,0,0,0,0,low
Namibia,376.0,3,1,6.8,AF,0,0,0,0,0,high
Nauru,49.0,0,8,1.0,OC,0,0,0,1,0,low
Nepal,5.0,6,0,0.2,AS,1,0,0,0,0,low
Netherlands,251.0,88,190,9.4,EU,0,1,0,0,0,high
New Zealand,203.0,79,175,9.3,OC,0,0,0,1,0,high
Nicaragua,78.0,118,1,3.5,NA,0,0,1,0,0,low
Niger,3.0,2,1,0.1,AF,0,0,0,0,0,low
Nigeria,42.0,5,2,9.1,AF,0,0,0,0,0,low
Niue,188.0,200,7,7.0,OC,0,0,0,1,0,med
Norway,169.0,71,129,6.7,EU,0,1,0,0,0,med
Oman,22.0,16,1,0.7,AS,1,0,0,0,0,low
Pakistan,0.0,0,0,0.0,AS,1,0,0,0,0,low
Palau,306.0,63,23,6.9,OC,0,0,0,1,0,high
Panama,285.0,104,18,7.2,NA,0,0,1,0,0,high
Papua New Guinea,44.0,39,1,1.5,OC,0,0,0,1,0,low
Paraguay,213.0,117,74,7.3,SA,0,0,0,0,1,high
Peru,163.0,160,21,6.1,SA,0,0,0,0,1,med
Philippines,71.0,186,1,4.6,AS,1,0,0,0,0,low
Poland,343.0,215,56,10.9,EU,0,1,0,0,0,high
Portugal,194.0,67,339,11.0,EU,0,1,0,0,0,med
Qatar,1.0,42,7,0.9,AS,1,0,0,0,0,low
South Korea,140.0,16,9,9.8,AS,1,0,0,0,0,med
Moldova,109.0,226,18,6.3,EU,0,1,0,0,0,med
Romania,297.0,122,167,10.4,EU,0,1,0,0,0,high
Russian Federation,247.0,326,73,11.5,AS,1,0,0,0,0,high
Rwanda,43.0,2,0,6.8,AF,0,0,0,0,0,low
St. Kitts & Nevis,194.0,205,32,7.7,NA,0,0,1,0,0,med
St. Lucia,171.0,315,71,10.1,NA,0,0,1,0,0,med
St. Vincent & the Grenadines,120.0,221,11,6.3,NA,0,0,1,0,0,med
Samoa,105.0,18,24,2.6,OC,0,0,0,1,0,med
San Marino,0.0,0,0,0.0,EU,0,1,0,0,0,low
Sao Tome & Principe,56.0,38,140,4.2,AF,0,0,0,0,0,low
Saudi Arabia,0.0,5,0,0.1,AS,1,0,0,0,0,low
Senegal,9.0,1,7,0.3,AF,0,0,0,0,0,low
Serbia,283.0,131,127,9.6,EU,0,1,0,0,0,high
Seychelles,157.0,25,51,4.1,AF,0,0,0,0,0,med
Sierra Leone,25.0,3,2,6.7,AF,0,0,0,0,0,low
Singapore,60.0,12,11,1.5,AS,1,0,0,0,0,low
Slovakia,196.0,293,116,11.4,EU,0,1,0,0,0,med
Slovenia,270.0,51,276,10.6,EU,0,1,0,0,0,high
Solomon Islands,56.0,11,1,1.2,OC,0,0,0,1,0,low
Somalia,0.0,0,0,0.0,AF,0,0,0,0,0,low
South Africa,225.0,76,81,8.2,AF,0,0,0,0,0,high
Spain,284.0,157,112,10.0,EU,0,1,0,0,0,high
Sri Lanka,16.0,104,0,2.2,AS,1,0,0,0,0,low
Sudan,8.0,13,0,1.7,AF,0,0,0,0,0,low
Suriname,128.0,178,7,5.6,SA,0,0,0,0,1,med
Swaziland,90.0,2,2,4.7,AF,0,0,0,0,0,low
Sweden,152.0,60,186,7.2,EU,0,1,0,0,0,med
Switzerland,185.0,100,280,10.2,EU,0,1,0,0,0,med
Syria,5.0,35,16,1.0,AS,1,0,0,0,0,low
Tajikistan,2.0,15,0,0.3,AS,1,0,0,0,0,low
Thailand,99.0,258,1,6.4,AS,1,0,0,0,0,low
Macedonia,106.0,27,86,3.9,EU,0,1,0,0,0,med
Timor-Leste,1.0,1,4,0.1,AS,1,0,0,0,0,low
Togo,36.0,2,19,1.3,AF,0,0,0,0,0,low
Tonga,36.0,21,5,1.1,OC,0,0,0,1,0,low
Trinidad & Tobago,197.0,156,7,6.4,NA,0,0,1,0,0,med
Tunisia,51.0,3,20,1.3,AF,0,0,0,0,0,low
Turkey,51.0,22,7,1.4,AS,1,0,0,0,0,low
Turkmenistan,19.0,71,32,2.2,AS,1,0,0,0,0,low
Tuvalu,6.0,41,9,1.0,OC,0,0,0,1,0,low
Uganda,45.0,9,0,8.3,AF,0,0,0,0,0,low
Ukraine,206.0,237,45,8.9,EU,0,1,0,0,0,high
United Arab Emirates,16.0,135,5,2.8,AS,1,0,0,0,0,low
United Kingdom,219.0,126,195,10.4,EU,0,1,0,0,0,high
Tanzania,36.0,6,1,5.7,AF,0,0,0,0,0,low
USA,249.0,158,84,8.7,NA,0,0,1,0,0,high
Uruguay,115.0,35,220,6.6,SA,0,0,0,0,1,med
Uzbekistan,25.0,101,8,2.4,AS,1,0,0,0,0,low
Vanuatu,21.0,18,11,0.9,OC,0,0,0,1,0,low
Venezuela,333.0,100,3,7.7,SA,0,0,0,0,1,high
Vietnam,111.0,2,1,2.0,AS,1,0,0,0,0,med
Yemen,6.0,0,0,0.1,AS,1,0,0,0,0,low
Zambia,32.0,19,4,2.5,AF,0,0,0,0,0,low
Zimbabwe,64.0,18,4,4.7,AF,0,0,0,0,0,low
